"## AMRrules specification v0.6, file updated 2025-09-03"																							
ruleID	txid	organism	gene	nodeID	protein accession	HMM accession	nucleotide accession	ARO accession	mutation	variation type	gene context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	breakpoint condition	PMID	evidence code	evidence grade	evidence limitations	rule curation note
PSA0011	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	ampicillin	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence"	high	-	
PSA0012	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	ampicillin	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0013	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	ampicillin	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0014	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	ampicillin	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0015	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	ampicillin-sulbactam	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence, ECO:0000024 protein-binding evidence"	high	-	
PSA0016	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	ampicillin-sulbactam	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0017	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	ampicillin-sulbactam	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0018	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	ampicillin-sulbactam	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0019	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	aztreonam	-	wildtype	I	MIC <= 16 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0020	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	aztreonam	-	wildtype	I	MIC <= 16 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0021	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	aztreonam	-	wildtype	I	MIC <= 16 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0022	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	aztreonam	-	wildtype	I	MIC <= 16 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0023	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	cefepime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0024	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	cefepime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0025	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	cefepime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0026	287	s__Pseudomonas aeruginosa	mexX	mexX	BAA34299.1	-	-	ARO:3003034	-	Gene presence detected 	core	cefepime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0027	287	s__Pseudomonas aeruginosa	mexY	-	BAA34300.1	-	-	ARO:3003033	-	Gene presence detected 	core	cefepime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0028	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	cefepime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0029	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	cefotaxime	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence"	high	-	
PSA0030	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	cefotaxime	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0031	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	cefotaxime	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0032	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	cefotaxime	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0033	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	ceftazidime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v15.0 (2025)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence"	high	-	
PSA0034	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	ceftazidime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0035	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	ceftazidime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0036	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	ceftazidime	-	wildtype	I	MIC <= 8 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0037	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	ceftazidime-avibactam	-	wildtype	S	MIC <= 8 mg/L	EUCAST v15.0 (2025)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence"	high	-	
PSA0038	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	ceftolozane-tazobactam	-	wildtype	S	MIC <= 4 mg/L	EUCAST v15.0 (2025)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence, ECO:0000024 protein-binding evidence"	high	-	
PSA0039	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	ceftriaxone	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence"	high	-	
PSA0040	287	s__Pseudomonas aeruginosa	catB7	catB7	AAD02068.1	-	-	ARO:3002679	-	Gene presence detected 	core	chloramphenicol	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0000005 enzymatic activity assay evidence	low	lacks evidence of the degree to which MIC is affected	
PSA0041	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	chloramphenicol	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0042	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	chloramphenicol	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0043	287	s__Pseudomonas aeruginosa	mexX	mexX	BAA34299.1	-	-	ARO:3003034	-	Gene presence detected 	core	chloramphenicol	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	low	lacks evidence of the degree to which MIC is affected	
PSA0044	287	s__Pseudomonas aeruginosa	mexY	-	BAA34300.1	-	-	ARO:3003033	-	Gene presence detected 	core	chloramphenicol	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	low	lacks evidence of the degree to which MIC is affected	
PSA0045	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	chloramphenicol	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0046	287	s__Pseudomonas aeruginosa	mexE	mexE	AAG05881.1	NF045904.1	-	ARO:3000803	-	Gene presence detected 	core	chloramphenicol	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	low	lacks evidence of the degree to which MIC is affected	
PSA0047	287	s__Pseudomonas aeruginosa	mexF	-	AAG05882.1	-	-	ARO:3000804	-	Gene presence detected 	core	chloramphenicol	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	low	lacks evidence of the degree to which MIC is affected	
PSA0048	287	s__Pseudomonas aeruginosa	oprN	-	AAG05883.1	-	-	ARO:3000805	-	Gene presence detected 	core	chloramphenicol	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	low	lacks evidence of the degree to which MIC is affected	
PSA0049	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	ciprofloxacin	-	wildtype	I	MIC <=0.5 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0050	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	ciprofloxacin	-	wildtype	I	MIC <=0.5 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0051	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	ciprofloxacin	-	wildtype	I	MIC <=0.5 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0052	287	s__Pseudomonas aeruginosa	crpP	crpP	AEQ93536.1	-	-	ARO:3004467	-	Gene presence detected 	acquired	ciprofloxacin	-	wildtype	I	MIC <=0.5 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0000005 enzymatic activity assay evidence	high	-	
PSA0053	287	s__Pseudomonas aeruginosa	mexE	mexE	AAG05881.1	NF045904.1	-	ARO:3000803	-	Gene presence detected 	core	ciprofloxacin	-	wildtype	I	MIC <=0.5 mg/L	EUCAST v15.0 (2025)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	high	-	
PSA0054	287	s__Pseudomonas aeruginosa	mexF	-	AAG05882.1	-	-	ARO:3000804	-	Gene presence detected 	core	ciprofloxacin	-	wildtype	I	MIC <=0.5 mg/L	EUCAST v15.0 (2025)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	high	-	
PSA0055	287	s__Pseudomonas aeruginosa	oprN	-	AAG05883.1	-	-	ARO:3000805	-	Gene presence detected 	core	ciprofloxacin	-	wildtype	I	MIC <=0.5 mg/L	EUCAST v15.0 (2025)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	high	-	
PSA0056	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	ertapenem	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0057	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	ertapenem	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0058	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	ertapenem	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0059	287	s__Pseudomonas aeruginosa	fosA_PA1129	fosA_PA1129	-	NF000094.1	-	ARO:3000149	-	Gene presence detected 	core	fosfomycin	-	wildtype	S	MIC <= 256 mg/L	ECOFF (January 2024)	-	-	ECO:0000012 functional complementation evidence	high	-	
PSA0060	287	s__Pseudomonas aeruginosa	aph(3')-IIb	aph(3')-IIb	AGY72832.1	-	-	ARO:3002645	-	Gene presence detected 	core	kanamycin A	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence, ECO:0000005 enzymatic activity assay evidence"	high	-	
PSA0061	287	s__Pseudomonas aeruginosa	mexX	mexX	BAA34299.1	-	-	ARO:3003034	-	Gene presence detected 	core	kanamycin A	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0062	287	s__Pseudomonas aeruginosa	mexY	-	BAA34300.1	-	-	ARO:3003033	-	Gene presence detected 	core	kanamycin A	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0063	287	s__Pseudomonas aeruginosa	crpP	crpP	AEQ93536.1	-	-	ARO:3004467	-	Gene presence detected 	acquired	levofloxacin	-	wildtype	I	MIC <=2 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0000005 enzymatic activity assay evidence	high	-	
PSA0064	287	s__Pseudomonas aeruginosa	blaOXA-50_fam	blaOXA-50_fam	-	NF000432.2	-	ARO:3001796	-	Gene presence detected 	core	meropenem	-	wildtype	S	MIC <= 8 mg/L	EUCAST v15.0 (2025)	Non-meningitis	-	ECO:0000012 functional complementation evidence	high	-	
PSA0065	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	meropenem	-	wildtype	S	MIC <= 8 mg/L	EUCAST v15.0 (2025)	Non-meningitis	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0066	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	meropenem	-	wildtype	S	MIC <= 8 mg/L	EUCAST v15.0 (2025)	Non-meningitis	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0067	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	meropenem	-	wildtype	S	MIC <= 8 mg/L	EUCAST v15.0 (2025)	Non-meningitis	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0068	287	s__Pseudomonas aeruginosa	aph(3')-IIb	aph(3')-IIb	AGY72832.1	-	-	ARO:3002645	-	Gene presence detected 	core	neomycin	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence, ECO:0000005 enzymatic activity assay evidence"	high	-	
PSA0069	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	norfloxacin	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0070	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	norfloxacin	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0071	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	norfloxacin	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0072	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	piperacillin	-	wildtype	I	MIC <=16 mg/L	EUCAST v15.0 (2025)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence"	high	-	
PSA0073	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	piperacillin	-	wildtype	I	MIC <=16 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0074	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	piperacillin	-	wildtype	I	MIC <=16 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0075	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	piperacillin	-	wildtype	I	MIC <=16 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0076	287	s__Pseudomonas aeruginosa	blaPDC_gen	blaPDC_gen	-	-	-	ARO:3000098	-	Gene presence detected 	core	piperacillin-tazobactam	-	wildtype	I	MIC <=16 mg/L	EUCAST v15.0 (2025)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000005 enzymatic activity assay evidence, ECO:0000024 protein-binding evidence"	high	-	
PSA0077	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	piperacillin-tazobactam	-	wildtype	I	MIC <=16 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0078	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	piperacillin-tazobactam	-	wildtype	I	MIC <=16 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0079	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	piperacillin-tazobactam	-	wildtype	I	MIC <=16 mg/L	EUCAST v15.0 (2025)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0080	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	sulfamethoxazole	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0081	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	sulfamethoxazole	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0082	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	sulfamethoxazole	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0083	287	s__Pseudomonas aeruginosa	oprM	-	"WP_003084633.1, AAG03816.1"	-	-	ARO:3000379	-	Gene presence detected 	core	tetracycline	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0084	287	s__Pseudomonas aeruginosa	mexA	mexA	AAA74436.1	NF033834.1	-	ARO:3000377	-	Gene presence detected 	core	tetracycline	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0085	287	s__Pseudomonas aeruginosa	mexB	-	AAA74437.1	-	-	ARO:3000378	-	Gene presence detected 	core	tetracycline	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0086	287	s__Pseudomonas aeruginosa	mexX	mexX	BAA34299.1	-	-	ARO:3003034	-	Gene presence detected 	core	tetracycline	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	high	-	
PSA0087	287	s__Pseudomonas aeruginosa	mexY	-	BAA34300.1	-	-	ARO:3003033	-	Gene presence detected 	core	tetracycline	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	"ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence"	high	-	
PSA0088	287	s__Pseudomonas aeruginosa	mexX	mexX	BAA34299.1	-	-	ARO:3003034	-	Gene presence detected 	core	tigecycline	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
PSA0089	287	s__Pseudomonas aeruginosa	mexY	-	BAA34300.1	-	-	ARO:3003033	-	Gene presence detected 	core	tigecycline	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	ECO:0001091 knockout phenotypic evidence	high	-	
